Rank,Name,State
570,University of North Georgia,GA
571,Warren Wilson College,NC
572,Guilford College,NC
573,University of Colorado Colorado Springs,CO
574,Bloomsburg University of Pennsylvania,PA
575,Kent State University at Kent,OH
576,Western Kentucky University,KY
577,University of New Orleans,LA
578,Oregon Institute of Technology,OR
579,Northern Arizona University,AZ
580,Georgia Southern University,GA
581,Western Michigan University,MI
582,Mississippi College,MS
583,Ashland University,OH
584,Florida Gulf Coast University,FL
585,Monmouth College,IL
586,Maryville College,TN
587,University of the Ozarks,AR
588,University of Memphis,TN
589,Idaho State University,ID
590,The Sage Colleges,NY
591,Vanguard University of Southern California,CA
592,Fort Lewis College,CO
593,Texas State University,TX
594,Sam Houston State University,TX
595,North Carolina A & T State University,NC
596,Rocky Mountain College,MT
597,Queens University of Charlotte,NC
598,Murray State University,KY
599,University of Missouri-Kansas City,MO
600,Wilmington University,DE
601,Albright College,PA
602,Catawba College,NC
603,University of Mount Union,OH
604,Meredith College,NC
605,Southern Illinois University-Edwardsville,IL
606,Northern Illinois University,IL
607,Minnesota State University-Mankato,MN
608,University of Arkansas at Little Rock,AR
609,University of Wisconsin-Milwaukee,WI
610,Andrews University,MI
611,The University of Texas at Arlington,TX
612,Boise State University,ID
613,Benedictine University,IL
614,University of Akron Main Campus,OH
615,Millersville University of Pennsylvania,PA
616,Texas Woman's University,TX
617,Claflin University,SC
618,Southern Illinois University-Carbondale,IL
619,Webster University,MO
620,The University of West Florida,FL
621,Nova Southeastern University,FL
622,University of Central Oklahoma,OK
623,East Tennessee State University,TN
624,Carson-Newman University,TN
625,Florida Agricultural and Mechanical University,FL
626,Southeastern Louisiana University,LA
627,Barry University,FL
628,University of South Alabama,AL
629,Aurora University,IL
630,Western Illinois University,IL
631,Anderson University,IN
632,Illinois College,IL
633,Bowling Green State University-Main Campus,OH
634,Utah Valley University,UT
635,Central Michigan University,MI
636,University of Northern Colorado,CO
637,Lamar University,TX
638,Middle Tennessee State University,TN
639,Kennesaw State University,GA
640,Indiana University of Pennsylvania-Main Campus,PA
641,Northern Kentucky University,KY
642,University of Toledo,OH
643,Columbia College-Chicago,IL
644,Eastern Kentucky University,KY
645,Texas A & M University-Corpus Christi,TX
646,Indiana University-Purdue University-Indianapolis,IN
647,Indiana State University,IN
648,Morgan State University,MD
649,Cleveland State University,OH
650,Texas A & M University-Kingsville,TX
651,Liberty University,VA
652,Tuskegee University,AL
653,Eastern Michigan University,MI
654,The University of Texas at San Antonio,TX
655,Troy University,AL
656,Youngstown State University,OH
657,Castleton University,VT
658,Tennessee State University,TN
659,Metropolitan State University of Denver,CO
660,Wright State University-Main Campus,OH
